Whitestone, Alaska			
Latitude: 64 deg 9.6 N, Longitude: 145 deg 52.9 W, Elevation: 310 meters			
Source: Alaska Energy Authority (www.akenergyauthority.org/programwind.html)			
Wind speed measurements are in meters per second.  Direction is degrees from True North.			
			
Timestamp	Spd (30m height)	Spd (20m height)	Dir
3/17 10:00	0.77	0.72	158
3/17 11:00	0.62	0.57	251
3/17 12:00	1.68	1.46	34
3/17 13:00	1.95	1.72	280
3/17 14:00	1.90	1.47	333
3/17 15:00	2.09	1.66	308
3/17 16:00	2.33	1.63	278
3/17 17:00	3.43	2.87	278
3/17 18:00	3.58	3.10	278
3/17 19:00	2.65	2.08	286
3/17 20:00	1.62	0.80	323
3/17 21:00	2.93	2.40	293
3/17 22:00	3.32	2.53	310
3/17 23:00	2.33	1.53	315
3/18 0:00	4.35	3.43	300
3/18 1:00	3.07	2.43	319
3/18 2:00	2.73	2.05	328
3/18 3:00	3.23	2.32	318
3/18 4:00	3.48	2.67	318
3/18 5:00	5.15	4.47	311
3/18 6:00	7.53	6.78	303
3/18 7:00	8.12	7.25	298
3/18 8:00	9.42	8.42	300
3/18 9:00	9.40	8.40	302
3/18 10:00	8.85	7.88	300
3/18 11:00	8.88	7.90	302
3/18 12:00	7.98	6.95	309
3/18 13:00	7.25	6.25	307
3/18 14:00	7.42	6.47	303
3/18 15:00	6.88	6.02	298
3/18 16:00	8.03	7.42	292
3/18 17:00	7.05	6.28	294
3/18 18:00	5.45	4.77	295
3/18 19:00	4.85	4.08	292
3/18 20:00	3.52	2.83	288
3/18 21:00	2.03	1.67	305
3/18 22:00	3.05	2.42	319
3/18 23:00	3.20	2.75	300
3/19 0:00	2.50	2.25	278
3/19 1:00	1.73	1.52	294
3/19 2:00	1.53	1.07	313
3/19 3:00	0.80	0.67	285
3/19 4:00	0.75	0.72	303
3/19 5:00	0.73	0.72	338
3/19 6:00	1.32	1.55	301
3/19 7:00	0.93	0.95	231
3/19 8:00	1.75	1.78	167
3/19 9:00	2.50	2.45	107
3/19 10:00	3.00	2.78	112
3/19 11:00	2.92	2.72	108
3/19 12:00	3.57	3.32	110
3/19 13:00	2.80	2.47	115
3/19 14:00	3.42	2.77	136
3/19 15:00	2.50	1.88	160
3/19 16:00	3.55	2.65	139
3/19 17:00	3.37	2.78	164
3/19 18:00	6.17	5.40	188
3/19 19:00	5.22	4.45	173
3/19 20:00	3.92	3.22	170
3/19 21:00	3.78	2.97	157
3/19 22:00	3.78	2.93	152
3/19 23:00	3.63	2.88	142
3/20 0:00	3.10	2.47	138
3/20 1:00	3.73	3.27	173
3/20 2:00	4.97	4.20	191
3/20 3:00	5.55	4.67	199
3/20 4:00	5.82	4.75	207
3/20 5:00	6.27	5.22	206
3/20 6:00	7.08	6.15	204
3/20 7:00	4.97	4.28	206
3/20 8:00	5.58	5.33	258
3/20 9:00	5.77	5.45	257
3/20 10:00	6.05	5.73	257
3/20 11:00	5.93	5.72	262
3/20 12:00	6.37	5.88	256
3/20 13:00	6.12	5.68	251
3/20 14:00	5.07	4.82	265
3/20 15:00	4.12	3.97	263
3/20 16:00	4.32	4.08	261
3/20 17:00	2.88	2.72	256
3/20 18:00	3.13	2.98	261
3/20 19:00	2.35	2.15	262
3/20 20:00	2.35	2.17	284
3/20 21:00	1.38	0.78	275
3/20 22:00	1.52	0.75	272
3/20 23:00	2.18	1.95	296
3/21 0:00	2.12	1.60	273
3/21 1:00	1.77	1.23	274
3/21 2:00	2.35	2.13	271
3/21 3:00	3.32	3.07	265
3/21 4:00	2.83	2.80	269
3/21 5:00	3.22	3.08	295
3/21 6:00	3.15	3.07	296
3/21 7:00	3.25	3.15	298
3/21 8:00	4.48	4.23	303
3/21 9:00	5.58	5.23	298
3/21 10:00	6.67	6.18	298
3/21 11:00	7.50	6.92	301
3/21 12:00	9.40	8.60	294
3/21 13:00	8.47	7.95	292
3/21 14:00	8.53	8.03	291
3/21 15:00	6.27	5.67	301
3/21 16:00	3.75	2.98	328
3/21 17:00	7.70	7.22	293
3/21 18:00	8.57	8.10	291
3/21 19:00	7.77	7.40	290
3/21 20:00	9.12	8.42	292
3/21 21:00	9.00	8.48	292
3/21 22:00	8.73	8.15	291
3/21 23:00	8.92	8.37	286
3/22 0:00	10.80	10.12	287
3/22 1:00	11.57	11.00	289
3/22 2:00	11.98	11.33	289
3/22 3:00	12.98	11.90	292
3/22 4:00	13.43	12.18	296
3/22 5:00	13.93	12.90	293
3/22 6:00	14.17	12.85	296
3/22 7:00	14.82	13.68	291
3/22 8:00	13.43	12.28	296
3/22 9:00	13.53	12.32	295
3/22 10:00	13.45	12.25	296
3/22 11:00	12.18	11.28	294
3/22 12:00	12.43	11.45	293
3/22 13:00	10.97	10.07	292
3/22 14:00	9.27	8.37	295
3/22 15:00	8.43	7.63	295
3/22 16:00	9.12	8.52	290
3/22 17:00	10.58	9.87	289
3/22 18:00	10.48	9.55	290
3/22 19:00	7.45	6.42	305
3/22 20:00	8.38	7.62	291
3/22 21:00	7.88	7.17	291
3/22 22:00	6.77	5.83	296
3/22 23:00	7.32	6.50	291
3/23 0:00	6.70	5.93	295
3/23 1:00	8.18	7.50	291
3/23 2:00	5.42	4.58	304
3/23 3:00	6.35	5.67	293
3/23 4:00	5.47	4.95	294
3/23 5:00	4.83	4.18	312
3/23 6:00	6.07	5.38	315
3/23 7:00	7.33	6.57	305
3/23 8:00	7.28	6.42	307
3/23 9:00	6.18	5.40	312
3/23 10:00	5.67	5.02	305
3/23 11:00	5.58	4.95	314
3/23 12:00	3.62	3.22	308
3/23 13:00	2.52	2.20	107
3/23 14:00	1.68	1.13	123
3/23 15:00	2.35	1.57	154
3/23 16:00	3.07	2.37	125
3/23 17:00	3.03	2.42	106
3/23 18:00	2.13	1.52	109
3/23 19:00	2.00	1.47	104
3/23 20:00	1.32	0.68	100
3/23 21:00	1.29	0.82	98
3/23 22:00	1.13	1.09	327
3/23 23:00	1.95	1.63	301
3/24 0:00	1.88	1.75	300
3/24 1:00	3.42	2.92	301
3/24 2:00	3.13	2.48	314
3/24 3:00	2.60	2.03	319
3/24 4:00	1.98	1.68	317
3/24 5:00	1.68	1.48	312
3/24 6:00	1.80	1.60	326
3/24 7:00	2.68	2.48	307
3/24 8:00	4.48	4.03	304
3/24 9:00	5.90	5.45	301
3/24 10:00	5.05	4.58	305
3/24 11:00	5.10	4.52	310
3/24 12:00	5.53	4.82	305
3/24 13:00	3.50	3.02	310
3/24 14:00	2.70	2.23	300
3/24 15:00	2.62	2.08	278
3/24 16:00	3.43	2.87	282
3/24 17:00	3.57	3.00	284
3/24 18:00	3.55	3.03	301
3/24 19:00	3.37	2.85	317
3/24 20:00	3.23	2.62	316
3/24 21:00	2.77	2.25	324
3/24 22:00	3.25	2.68	290
3/24 23:00	3.23	2.47	305
3/25 0:00	3.35	2.53	300
3/25 1:00	3.50	2.83	299
3/25 2:00	3.38	2.65	306
3/25 3:00	4.35	3.68	295
3/25 4:00	3.65	3.05	308
3/25 5:00	3.93	3.37	302
3/25 6:00	4.73	4.22	302
3/25 7:00	3.97	3.53	303
3/25 8:00	5.52	5.05	298
3/25 9:00	4.60	4.15	305
3/25 10:00	4.10	3.63	308
3/25 11:00	4.45	3.98	299
3/25 12:00	4.53	4.13	292
3/25 13:00	3.73	3.15	298
3/25 14:00	3.82	3.38	293
3/25 15:00	3.50	3.08	277
3/25 16:00	3.83	3.25	279
3/25 17:00	2.50	2.15	311
3/25 18:00	1.27	0.98	329
3/25 19:00	1.63	1.22	292
3/25 20:00	1.71	1.34	289
3/25 21:00	1.36	1.05	332
3/25 22:00	2.10	1.63	284
3/25 23:00	1.42	1.03	156
3/26 0:00	1.22	0.82	144
3/26 1:00	1.05	0.75	153
3/26 2:00	1.13	0.72	130
3/26 3:00	0.99	0.73	142
3/26 4:00	1.45	1.25	134
3/26 5:00	1.15	1.02	136
3/26 6:00	1.10	0.96	154
3/26 7:00	0.98	0.87	265
3/26 8:00	2.12	1.95	320
3/26 9:00	2.68	2.43	319
3/26 10:00	3.87	3.50	314
3/26 11:00	3.27	2.87	324
3/26 12:00	2.73	2.38	342
3/26 13:00	2.03	1.65	347
3/26 14:00	1.40	1.13	5
3/26 15:00	2.63	2.22	111
3/26 16:00	3.03	2.58	119
3/26 17:00	3.47	3.07	116
3/26 18:00	4.07	3.57	114
3/26 19:00	4.77	4.22	116
3/26 20:00	4.55	4.00	114
3/26 21:00	4.60	4.17	113
3/26 22:00	4.50	4.02	112
3/26 23:00	3.80	3.50	105
3/27 0:00	3.35	2.98	106
3/27 1:00	3.28	3.03	103
3/27 2:00	3.23	2.87	102
3/27 3:00	3.23	2.90	109
3/27 4:00	3.07	2.80	105
3/27 5:00	2.72	2.47	110
3/27 6:00	2.95	2.75	109
3/27 7:00	3.30	3.12	112
3/27 8:00	3.73	3.50	108
3/27 9:00	4.50	4.18	108
3/27 10:00	3.92	3.52	114
3/27 11:00	3.22	3.05	104
3/27 12:00	2.67	2.38	109
3/27 13:00	1.10	1.05	85
3/27 14:00	1.12	0.93	138
3/27 15:00	3.05	2.52	265
3/27 16:00	2.86	2.30	309
3/27 17:00	1.92	1.54	307
3/27 18:00	1.40	1.09	25
3/27 19:00	1.86	1.46	121
3/27 20:00	1.10	0.65	50
3/27 21:00	1.44	1.15	146
3/27 22:00	1.50	1.20	137
3/27 23:00	1.38	0.88	155
3/28 0:00	2.08	1.62	239
3/28 1:00	2.27	1.69	232
3/28 2:00	1.57	1.26	227
3/28 3:00	1.18	1.01	138
3/28 4:00	1.61	1.34	73
3/28 5:00	0.93	0.77	8
3/28 6:00	1.40	1.13	315
3/28 7:00	2.65	2.35	310
3/28 8:00	2.63	2.38	312
3/28 9:00	1.85	1.73	237
3/28 10:00	2.17	2.12	108
3/28 11:00	1.30	1.15	86
3/28 12:00	1.68	1.55	89
3/28 13:00	2.45	2.05	73
3/28 14:00	2.25	1.95	97
3/28 15:00	2.12	1.62	99
3/28 16:00	2.98	2.52	102
3/28 17:00	2.55	2.02	111
3/28 18:00	3.63	3.15	110
3/28 19:00	3.72	3.18	113
3/28 20:00	3.87	3.22	117
3/28 21:00	3.45	2.83	110
3/28 22:00	2.65	2.05	108
3/28 23:00	3.23	2.75	120
3/29 0:00	2.48	2.07	108
3/29 1:00	1.73	1.28	95
3/29 2:00	1.67	1.03	79
3/29 3:00	1.27	0.98	87
3/29 4:00	2.77	2.55	98
3/29 5:00	3.13	2.83	111
3/29 6:00	3.83	3.53	113
3/29 7:00	3.82	3.33	120
3/29 8:00	4.07	3.53	131
3/29 9:00	4.28	3.62	144
3/29 10:00	4.78	4.07	154
3/29 11:00	3.98	3.38	157
3/29 12:00	3.10	2.70	128
3/29 13:00	3.30	3.07	112
3/29 14:00	2.40	1.92	124
3/29 15:00	2.23	1.48	154
3/29 16:00	2.50	1.78	172
3/29 17:00	2.48	1.67	161
3/29 18:00	2.28	1.58	159
3/29 19:00	1.88	1.22	136
3/29 20:00	1.85	1.18	123
3/29 21:00	1.13	0.60	99
3/29 22:00	1.20	0.71	182
3/29 23:00	1.95	1.03	308
3/30 0:00	2.48	1.78	305
3/30 1:00	2.00	1.63	300
3/30 2:00	2.63	2.02	305
3/30 3:00	2.37	1.90	318
3/30 4:00	2.67	2.42	313
3/30 5:00	2.67	2.47	302
3/30 6:00	2.92	2.68	308
3/30 7:00	3.50	3.27	305
3/30 8:00	3.50	3.42	291
3/30 9:00	4.80	4.52	298
3/30 10:00	4.88	4.63	295
3/30 11:00	3.67	3.42	290
3/30 12:00	3.02	2.83	293
3/30 13:00	1.37	1.13	243
3/30 14:00	0.99	0.75	160
3/30 15:00	1.78	1.32	71
3/30 16:00	2.38	1.89	60
3/30 17:00	0.64	0.43	41
3/30 18:00	1.75	1.37	239
3/30 19:00	3.20	2.78	266
3/30 20:00	2.27	1.89	306
3/30 21:00	1.80	1.35	28
3/30 22:00	2.35	1.63	54
3/30 23:00	2.16	1.68	317
3/31 0:00	0.67	0.63	124
3/31 1:00	1.05	0.72	134
3/31 2:00	1.80	1.21	103
3/31 3:00	1.21	0.91	52
3/31 4:00	1.18	0.85	70
3/31 5:00	2.12	1.75	89
3/31 6:00	1.03	0.83	110
3/31 7:00	1.38	1.17	94
3/31 8:00	1.85	1.63	113
3/31 9:00	1.62	1.52	105
3/31 10:00	1.67	1.50	114
3/31 11:00	1.63	1.43	126
3/31 12:00	2.42	2.28	102
3/31 13:00	2.23	2.00	108
3/31 14:00	2.10	1.72	121
3/31 15:00	2.97	2.47	164
3/31 16:00	2.67	2.30	171
3/31 17:00	2.12	1.73	168
3/31 18:00	1.90	1.57	157
3/31 19:00	2.92	2.37	155
3/31 20:00	3.52	3.05	124
3/31 21:00	2.90	2.55	110
3/31 22:00	2.73	2.35	118
3/31 23:00	2.60	2.18	116
4/1 0:00	2.38	2.08	107
4/1 1:00	1.90	1.70	109
4/1 2:00	2.03	1.83	113
4/1 3:00	2.30	2.02	114
4/1 4:00	2.25	1.98	92
4/1 5:00	2.10	1.87	103
4/1 6:00	1.97	1.75	85
4/1 7:00	1.30	1.18	50
4/1 8:00	0.93	0.90	46
4/1 9:00	1.23	1.13	75
4/1 10:00	1.12	0.98	90
4/1 11:00	1.65	1.43	124
4/1 12:00	1.48	1.18	119
4/1 13:00	1.98	1.73	120
4/1 14:00	2.60	2.10	149
4/1 15:00	1.76	1.37	120
4/1 16:00	2.03	1.32	90
4/1 17:00	0.83	0.50	85
4/1 18:00	1.05	0.50	82
4/1 19:00	1.37	0.52	71
4/1 20:00	0.47	0.40	73
4/1 21:00	1.06	0.88	57
4/1 22:00	0.83	0.91	264
4/1 23:00	1.53	1.19	292
4/2 0:00	1.63	1.12	315
4/2 1:00	1.67	1.22	277
4/2 2:00	1.70	0.87	318
4/2 3:00	0.98	0.60	310
4/2 4:00	1.26	1.03	261
4/2 5:00	1.68	1.43	159
4/2 6:00	0.95	0.82	160
4/2 7:00	1.52	1.33	105
4/2 8:00	1.98	1.72	114
4/2 9:00	2.35	2.00	124
4/2 10:00	1.98	1.78	123
4/2 11:00	2.47	2.30	105
4/2 12:00	2.63	2.33	107
4/2 13:00	2.80	2.47	113
4/2 14:00	2.60	2.28	115
4/2 15:00	3.08	2.57	108
4/2 16:00	3.62	2.85	113
4/2 17:00	3.78	3.28	112
4/2 18:00	3.13	2.78	108
4/2 19:00	2.60	2.23	101
4/2 20:00	2.47	1.97	109
4/2 21:00	2.62	2.08	111
4/2 22:00	2.48	2.00	108
4/2 23:00	1.87	1.23	111
4/3 0:00	1.18	0.63	103
4/3 1:00	1.65	1.04	113
4/3 2:00	1.33	0.73	115
4/3 3:00	0.78	0.57	112
4/3 4:00	1.50	1.28	116
4/3 5:00	1.05	0.90	111
4/3 6:00	1.27	1.10	130
4/3 7:00	1.12	1.05	96
4/3 8:00	1.42	1.23	172
4/3 9:00	1.67	1.43	75
4/3 10:00	1.35	1.20	60
4/3 11:00	1.55	1.35	59
4/3 12:00	1.45	1.22	112
4/3 13:00	1.52	1.30	99
4/3 14:00	2.25	2.00	109
4/3 15:00	2.35	2.05	109
4/3 16:00	1.31	0.78	107
4/3 17:00	2.47	1.50	85
4/3 18:00	3.05	2.57	98
4/3 19:00	2.03	1.50	104
4/3 20:00	1.82	1.10	95
4/3 21:00	0.88	0.55	110
4/3 22:00	1.74	1.30	58
4/3 23:00	1.18	0.82	134
4/4 0:00	1.75	1.32	155
4/4 1:00	1.22	0.96	85
4/4 2:00	1.20	0.98	61
4/4 3:00	1.01	0.82	344
4/4 4:00	0.85	0.72	347
4/4 5:00	1.60	1.47	308
4/4 6:00	2.83	2.72	298
4/4 7:00	2.22	2.03	312
4/4 8:00	2.53	2.37	322
4/4 9:00	2.02	1.80	319
4/4 10:00	2.10	1.93	329
4/4 11:00	2.07	1.85	335
4/4 12:00	1.37	1.20	71
4/4 13:00	2.15	1.83	115
4/4 14:00	1.50	1.25	128
4/4 15:00	2.41	1.70	74
4/4 16:00	0.82	0.57	113
4/4 17:00	1.65	1.09	112
4/4 18:00	2.00	1.35	84
4/4 19:00	1.76	1.18	93
4/4 20:00	1.18	0.70	128
4/4 21:00	1.60	0.97	127
4/4 22:00	0.75	0.47	137
4/4 23:00	1.60	1.25	305
4/5 0:00	2.63	2.03	323
4/5 1:00	1.77	1.18	315
4/5 2:00	3.15	2.85	296
4/5 3:00	2.45	2.17	301
4/5 4:00	2.40	2.12	302
4/5 5:00	3.03	2.82	299
4/5 6:00	3.78	3.40	300
4/5 7:00	6.27	5.48	309
4/5 8:00	9.48	8.32	302
4/5 9:00	8.98	8.00	300
4/5 10:00	10.53	9.35	300
4/5 11:00	10.33	9.17	300
4/5 12:00	8.88	8.02	298
4/5 13:00	7.57	6.75	297
4/5 14:00	6.30	5.58	296
4/5 15:00	7.35	6.58	292
4/5 16:00	6.27	5.25	295
4/5 17:00	6.05	5.08	292
4/5 18:00	5.42	4.43	295
4/5 19:00	3.77	2.92	312
4/5 20:00	3.87	3.27	308
4/5 21:00	3.62	2.87	313
4/5 22:00	5.17	4.43	297
4/5 23:00	6.78	6.15	289
4/6 0:00	6.92	6.37	282
4/6 1:00	7.07	6.37	280
4/6 2:00	7.43	6.85	283
4/6 3:00	8.48	7.85	287
4/6 4:00	8.10	7.55	289
4/6 5:00	7.12	6.53	291
4/6 6:00	6.48	5.77	310
4/6 7:00	5.20	4.63	353
4/6 8:00	6.82	5.87	4
4/6 9:00	6.38	5.48	10
4/6 10:00	6.27	5.48	354
4/6 11:00	7.07	6.15	4
4/6 12:00	5.73	5.03	0
4/6 13:00	5.62	4.80	357
4/6 14:00	5.13	4.53	345
4/6 15:00	3.60	3.00	319
4/6 16:00	3.33	2.77	340
4/6 17:00	4.03	3.45	314
4/6 18:00	3.80	3.40	303
4/6 19:00	3.75	3.23	315
4/6 20:00	5.12	4.32	351
4/6 21:00	5.28	4.48	336
4/6 22:00	3.88	3.40	302
4/6 23:00	4.40	3.70	314
4/7 0:00	3.98	3.28	316
4/7 1:00	4.02	3.50	310
4/7 2:00	5.07	4.52	304
4/7 3:00	4.15	3.68	310
4/7 4:00	4.25	3.87	300
4/7 5:00	3.10	2.72	296
4/7 6:00	3.08	2.83	290
4/7 7:00	2.28	2.17	301
4/7 8:00	1.30	1.35	265
4/7 9:00	1.98	1.93	292
4/7 10:00	2.03	1.95	291
4/7 11:00	2.42	2.18	305
4/7 12:00	3.45	3.13	315
4/7 13:00	3.43	2.98	10
4/7 14:00	3.02	2.55	12
4/7 15:00	2.00	1.40	37
4/7 16:00	2.13	1.47	358
4/7 17:00	2.23	1.68	344
4/7 18:00	2.12	1.77	328
4/7 19:00	2.23	1.78	314
4/7 20:00	1.70	1.47	304
4/7 21:00	1.63	1.32	291
4/7 22:00	2.25	1.60	286
4/7 23:00	2.68	2.33	298
4/8 0:00	3.15	2.38	309
4/8 1:00	2.12	1.53	293
4/8 2:00	2.97	2.43	301
4/8 3:00	3.12	2.63	313
4/8 4:00	3.42	3.13	308
4/8 5:00	3.27	2.90	305
4/8 6:00	3.58	3.33	303
4/8 7:00	2.93	2.80	301
4/8 8:00	2.93	2.80	295
4/8 9:00	3.55	3.38	301
4/8 10:00	3.43	3.17	300
4/8 11:00	3.37	3.13	309
4/8 12:00	2.60	2.42	328
4/8 13:00	4.20	3.65	347
4/8 14:00	4.53	3.83	10
4/8 15:00	3.30	2.68	1
4/8 16:00	2.23	1.53	2
4/8 17:00	2.08	1.58	308
4/8 18:00	3.28	2.77	307
4/8 19:00	3.38	2.60	305
4/8 20:00	2.43	1.80	313
4/8 21:00	1.40	1.00	307
4/8 22:00	1.87	1.50	9
4/8 23:00	3.10	2.40	307
4/9 0:00	1.75	1.02	310
4/9 1:00	2.23	1.40	307
4/9 2:00	1.25	0.67	322
4/9 3:00	3.37	2.97	308
4/9 4:00	3.70	3.32	302
4/9 5:00	2.40	2.37	293
4/9 6:00	2.28	2.22	300
4/9 7:00	1.55	1.48	315
4/9 8:00	1.88	1.73	308
4/9 9:00	2.20	2.05	322
4/9 10:00	2.27	2.03	317
4/9 11:00	2.55	2.32	300
4/9 12:00	2.18	1.93	322
4/9 13:00	1.65	1.42	326
4/9 14:00	2.47	2.02	74
4/9 15:00	1.70	1.18	96
4/9 16:00	0.95	0.73	119
4/9 17:00	0.93	0.75	41
4/9 18:00	0.70	0.61	307
4/9 19:00	1.81	1.37	28
4/9 20:00	2.00	1.60	314
4/9 21:00	2.22	1.68	314
4/9 22:00	2.12	1.52	315
4/9 23:00	2.90	2.35	311
4/10 0:00	2.63	1.93	308
4/10 1:00	3.55	2.60	313
4/10 2:00	3.45	2.82	310
4/10 3:00	1.23	1.12	273
4/10 4:00	2.35	2.07	320
4/10 5:00	1.87	1.85	318
4/10 6:00	1.80	1.82	317
4/10 7:00	2.30	2.17	322
4/10 8:00	2.15	1.92	326
4/10 9:00	1.88	1.77	316
4/10 10:00	1.77	1.68	309
4/10 11:00	2.03	2.05	257
4/10 12:00	3.62	3.05	170
4/10 13:00	3.90	3.13	151
4/10 14:00	1.80	1.35	135
4/10 15:00	1.55	1.12	107
4/10 16:00	2.48	1.92	101
4/10 17:00	2.40	1.85	118
4/10 18:00	2.55	1.88	119
4/10 19:00	2.70	2.00	116
4/10 20:00	2.93	2.35	116
4/10 21:00	2.82	2.22	108
4/10 22:00	3.53	2.95	109
4/10 23:00	2.20	1.68	115
4/11 0:00	1.98	1.40	120
4/11 1:00	2.12	1.48	117
4/11 2:00	1.88	1.60	108
4/11 3:00	3.28	3.07	106
4/11 4:00	3.63	3.27	113
4/11 5:00	3.97	3.63	119
4/11 6:00	4.05	3.68	109
4/11 7:00	3.93	3.62	111
4/11 8:00	3.83	3.43	111
4/11 9:00	4.33	4.05	107
4/11 10:00	4.72	4.35	103
4/11 11:00	4.63	4.25	108
4/11 12:00	4.82	4.40	110
4/11 13:00	4.50	4.10	111
4/11 14:00	3.73	3.28	111
4/11 15:00	4.77	4.40	107
4/11 16:00	3.77	3.33	112
4/11 17:00	4.02	3.55	111
4/11 18:00	4.87	4.30	114
4/11 19:00	3.50	3.23	106
4/11 20:00	2.13	1.90	98
4/11 21:00	2.42	2.00	110
4/11 22:00	1.52	1.22	117
4/11 23:00	1.82	1.52	99
4/12 0:00	2.45	2.13	111
4/12 1:00	3.05	2.60	113
4/12 2:00	2.33	2.10	108
4/12 3:00	3.13	2.85	107
4/12 4:00	2.87	2.58	113
4/12 5:00	2.68	2.40	111
4/12 6:00	2.45	2.23	112
4/12 7:00	2.20	2.03	108
4/12 8:00	2.92	2.60	116
4/12 9:00	3.00	2.75	110
4/12 10:00	2.97	2.73	102
4/12 11:00	3.30	3.05	101
4/12 12:00	3.43	3.25	102
4/12 13:00	3.98	3.55	92
4/12 14:00	3.60	3.20	93
4/12 15:00	3.18	2.63	86
4/12 16:00	2.80	2.20	92
4/12 17:00	1.78	1.18	110
4/12 18:00	1.37	0.82	126
4/12 19:00	0.88	0.50	120
4/12 20:00	1.08	0.67	105
4/12 21:00	0.80	0.55	128
4/12 22:00	1.10	0.69	145
4/12 23:00	1.40	0.96	155
4/13 0:00	2.23	1.75	134
4/13 1:00	1.57	1.25	134
4/13 2:00	1.78	1.32	129
4/13 3:00	1.92	1.57	147
4/13 4:00	1.97	1.75	162
4/13 5:00	2.07	1.83	152
4/13 6:00	2.22	2.02	158
4/13 7:00	2.62	2.37	177
4/13 8:00	1.95	1.88	138
4/13 9:00	3.12	2.67	160
4/13 10:00	2.07	1.83	148
4/13 11:00	1.82	1.62	140
4/13 12:00	2.22	1.95	149
4/13 13:00	2.78	2.57	103
4/13 14:00	3.43	2.90	77
4/13 15:00	3.25	2.53	63
4/13 16:00	2.00	1.10	56
4/13 17:00	2.37	1.07	70
4/13 18:00	1.67	1.00	114
4/13 19:00	0.92	0.57	105
4/13 20:00	0.85	0.68	91
4/13 21:00	1.22	0.97	90
4/13 22:00	3.08	2.38	241
4/13 23:00	1.71	1.32	282
4/14 0:00	1.18	0.70	359
4/14 1:00	2.08	1.72	307
4/14 2:00	1.10	1.12	304
4/14 3:00	2.52	2.37	313
4/14 4:00	2.33	2.30	295
4/14 5:00	2.13	2.08	297
4/14 6:00	1.73	1.83	292
4/14 7:00	1.17	1.17	27
4/14 8:00	1.38	1.28	181
4/14 9:00	2.90	2.52	166
4/14 10:00	1.72	1.55	120
4/14 11:00	2.18	1.88	162
4/14 12:00	2.05	1.85	121
4/14 13:00	2.90	2.60	88
4/14 14:00	2.95	2.45	70
4/14 15:00	2.63	1.68	68
4/14 16:00	2.42	1.27	82
4/14 17:00	1.03	0.55	90
4/14 18:00	1.23	0.91	352
4/14 19:00	1.49	1.11	192
4/14 20:00	0.43	0.40	77
4/14 21:00	0.40	0.40	76
4/14 22:00	0.42	0.40	78
4/14 23:00	1.34	1.01	95
4/15 0:00	0.42	0.40	87
4/15 1:00	0.55	0.43	116
4/15 2:00	1.53	1.23	103
4/15 3:00	0.87	0.77	158
4/15 4:00	1.10	1.05	129
4/15 5:00	1.55	1.43	123
4/15 6:00	2.17	1.97	120
4/15 7:00	2.92	2.60	124
4/15 8:00	3.07	2.72	114
4/15 9:00	3.10	2.82	107
4/15 10:00	2.82	2.48	114
4/15 11:00	2.85	2.52	106
4/15 12:00	3.02	2.75	98
4/15 13:00	2.87	2.58	108
4/15 14:00	3.20	2.87	112
4/15 15:00	2.98	2.48	121
4/15 16:00	2.55	1.67	128
4/15 17:00	1.83	0.90	112
4/15 18:00	1.80	0.75	108
4/15 19:00	1.85	0.78	99
4/15 20:00	1.48	0.67	91
4/15 21:00	0.90	0.45	105
4/15 22:00	1.58	1.23	106
4/15 23:00	1.61	1.27	105
4/16 0:00	2.20	1.72	134
4/16 1:00	2.27	1.77	89
4/16 2:00	0.83	0.78	5
4/16 3:00	2.21	1.87	290
4/16 4:00	0.55	0.62	305
4/16 5:00	0.93	0.92	247
4/16 6:00	2.18	1.93	128
4/16 7:00	2.27	1.95	144
4/16 8:00	2.60	2.28	152
4/16 9:00	2.07	1.80	143
4/16 10:00	2.30	1.97	151
4/16 11:00	2.78	2.33	180
4/16 12:00	2.20	1.93	146
4/16 13:00	1.58	1.38	138
4/16 14:00	1.78	1.50	100
4/16 15:00	2.80	2.22	79
4/16 16:00	2.38	1.68	96
4/16 17:00	1.49	0.78	83
4/16 18:00	1.92	1.50	53
4/16 19:00	1.40	1.13	42
4/16 20:00	3.25	2.65	105
4/16 21:00	2.13	1.58	106
4/16 22:00	2.90	2.53	101
4/16 23:00	3.40	2.93	107
4/17 0:00	4.97	4.25	116
4/17 1:00	5.43	4.98	113
4/17 2:00	5.75	5.15	116
4/17 3:00	6.02	5.37	117
4/17 4:00	5.38	4.88	117
4/17 5:00	5.95	5.30	117
4/17 6:00	5.68	5.17	116
4/17 7:00	5.00	4.73	111
4/17 8:00	5.00	4.68	107
4/17 9:00	4.47	4.20	101
4/17 10:00	4.47	4.05	113
4/17 11:00	4.32	3.85	118
4/17 12:00	5.28	4.77	115
4/17 13:00	6.47	5.60	122
4/17 14:00	6.18	5.33	122
4/17 15:00	6.23	5.70	115
4/17 16:00	5.62	4.93	118
4/17 17:00	4.85	4.28	115
4/17 18:00	3.85	3.55	111
4/17 19:00	3.02	2.80	105
4/17 20:00	2.97	2.63	107
4/17 21:00	2.88	2.55	109
4/17 22:00	3.35	3.07	111
4/17 23:00	2.93	2.67	112
4/18 0:00	2.33	2.20	107
4/18 1:00	1.67	1.53	102
4/18 2:00	1.48	1.47	102
4/18 3:00	1.35	1.25	135
4/18 4:00	1.12	1.07	90
4/18 5:00	1.25	1.15	145
4/18 6:00	1.48	1.38	22
4/18 7:00	1.27	1.25	9
4/18 8:00	2.17	1.92	158
4/18 9:00	2.87	2.55	129
4/18 10:00	4.58	4.32	106
